symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LGN,2025-09-12,27.0,31.41,26.96,30.5,9811600
LGN,2025-09-15,29.31,34.4,28.51,30.55,2441500
LGN,2025-09-16,30.48,32.38,30.3,31.08,1284063
LGN,2025-09-17,31.13,31.72,29.95,30.33,1111300
LGN,2025-09-18,30.02,31.03,28.31,29.72,3766205
LGN,2025-09-19,29.67,32.33,29.3,31.33,1011221
LGN,2025-09-22,31.16,32.81,30.76,32.74,443811
LGN,2025-09-23,33.0,33.6,32.04,33.4,391300
LGN,2025-09-24,33.4,34.3,33.09,33.88,530402
LGN,2025-09-25,33.26,33.42,31.17,32.08,662293
LGN,2025-09-26,32.03,32.5,30.4,31.67,513437
LGN,2025-09-29,30.82,31.98,30.54,31.12,1497123
LGN,2025-09-30,31.3,31.55,29.0,30.81,1765627
LGN,2025-10-01,30.81,32.16,30.1,31.66,1868405
LGN,2025-10-02,31.52,32.21,29.51,29.97,941949
LGN,2025-10-03,29.97,32.48,29.32,31.67,1161600
LGN,2025-10-06,31.3,31.92,29.94,30.57,606218
LGN,2025-10-07,31.31,32.13,29.45,32.0,1186781
LGN,2025-10-08,32.48,32.48,31.05,31.09,427310
LGN,2025-10-09,30.86,31.96,30.33,31.07,1183300
LGN,2025-10-10,31.08,31.73,30.65,31.25,568200
LGN,2025-10-13,31.2,32.48,30.69,32.03,487021
LGN,2025-10-14,32.01,32.17,30.75,31.61,485217
LGN,2025-10-15,31.62,33.74,31.33,33.5,779900
LGN,2025-10-16,33.43,33.9,32.16,33.64,404554
LGN,2025-10-17,33.9,34.57,33.15,33.82,498200
LGN,2025-10-20,34.33,36.56,33.5,35.62,506408
LGN,2025-10-21,35.71,35.89,33.77,35.13,703540
LGN,2025-10-22,35.23,35.46,32.33,32.87,549763
LGN,2025-10-23,32.28,33.27,31.26,32.6,782557
LGN,2025-10-24,34.27,37.9,34.27,36.12,1375000
LGN,2025-10-27,36.5,37.74,35.32,36.82,839260
LGN,2025-10-28,37.0,40.73,36.63,39.6,1872855
LGN,2025-10-29,39.68,43.0,39.04,41.54,1090100
LGN,2025-10-30,40.8,41.99,38.5,39.85,1601173
LGN,2025-10-31,40.0,42.49,39.66,41.37,999100
LGN,2025-11-03,41.69,43.82,40.8,41.43,601845
LGN,2025-11-04,40.9,41.97,38.11,38.31,895800
LGN,2025-11-05,38.5,40.24,38.5,39.0,477500
LGN,2025-11-06,39.52,39.6,36.48,36.54,548200
LGN,2025-11-07,35.99,36.57,34.4,35.49,993428
LGN,2025-11-10,35.97,36.71,35.0,36.58,714130
LGN,2025-11-11,36.42,37.28,35.41,36.24,707025
LGN,2025-11-12,36.26,36.93,35.21,36.7,589500
LGN,2025-11-13,36.65,36.7,33.01,33.32,641581
LGN,2025-11-14,35.0,42.04,35.0,40.27,2814211
LGN,2025-11-17,40.94,43.74,39.67,40.12,1105557
LGN,2025-11-18,40.95,45.63,39.93,44.93,1440600
LGN,2025-11-19,45.05,45.75,42.42,44.43,912185
LGN,2025-11-20,45.33,47.07,40.31,40.96,1000886
LGN,2025-11-21,41.42,42.7,40.3,40.77,692808
LGN,2025-11-24,41.73,44.75,41.73,43.79,893818
LGN,2025-11-25,43.66,45.5,43.28,44.99,607600
LGN,2025-11-26,45.61,47.0,44.56,45.76,653803
LGN,2025-11-28,45.94,46.93,45.35,45.98,299714
LGN,2025-12-01,45.88,46.02,43.89,44.82,483700
LGN,2025-12-02,44.72,46.37,43.96,44.19,389548
LGN,2025-12-03,44.22,47.3,42.83,45.96,440574
LGN,2025-12-04,46.08,50.2,46.08,48.24,733969
LGN,2025-12-05,47.89,48.18,46.0,46.79,529368
LGN,2025-12-08,47.98,49.74,46.06,47.5,885103
LGN,2025-12-09,47.74,49.42,47.38,48.48,455600
LGN,2025-12-10,45.65,48.25,44.42,45.3,757624
LGN,2025-12-11,45.32,46.5,43.57,45.8,748503
LGN,2025-12-12,45.68,45.68,41.5,41.74,5205100
LGN,2025-12-15,42.54,42.95,40.41,40.84,1603233
LGN,2025-12-16,40.17,42.02,40.05,41.92,1607946
LGN,2025-12-17,41.98,43.0,40.91,41.35,2043289
LGN,2025-12-18,41.91,43.98,41.91,43.5,1319737
LGN,2025-12-19,43.16,44.67,43.16,44.15,8275400
LGN,2025-12-22,44.43,45.0,43.74,44.12,743832
LGN,2025-12-23,43.81,44.87,43.66,44.72,409413
LGN,2025-12-24,44.48,45.04,44.23,44.29,365422
LGN,2025-12-26,44.07,44.98,43.54,44.6,517000
LGN,2025-12-29,44.09,44.87,43.71,43.86,1037610
LGN,2025-12-30,44.0,44.03,42.94,43.5,919000
LGN,2025-12-31,43.62,43.83,42.97,43.04,1206500
LGN,2026-01-02,42.95,45.23,42.82,44.68,1617100
LGN,2026-01-05,44.5,45.48,44.49,44.53,2333227
LGN,2026-01-06,44.89,46.8,44.01,46.0,2624500
LGN,2026-01-07,45.87,48.74,45.86,48.32,1954070
LGN,2026-01-08,47.97,48.77,43.47,43.53,957300
LGN,2026-01-09,44.01,45.11,43.38,44.5,741100
LGN,2026-01-12,44.5,46.51,43.65,45.25,623600
LGN,2026-01-13,45.47,46.86,45.4,45.75,1040923
LGN,2026-01-14,46.21,46.21,43.21,44.59,932708
LGN,2026-01-15,45.03,47.79,45.03,46.31,1313566
LGN,2026-01-16,47.1,49.61,46.46,49.59,1430803
LGN,2026-01-20,48.44,49.41,47.13,47.48,730388
LGN,2026-01-21,48.02,48.86,46.86,48.0,729624
LGN,2026-01-22,48.99,49.52,47.33,48.66,489606
LGN,2026-01-23,49.57,50.17,47.25,49.77,1468100
LGN,2026-01-26,51.18,52.48,49.84,51.17,1498000
LGN,2026-01-27,51.62,52.74,49.93,49.94,1074597
LGN,2026-01-28,50.45,51.75,49.2,51.22,828700
LGN,2026-01-29,51.66,52.22,50.29,51.57,815100
LGN,2026-01-30,51.1,52.64,46.14,46.91,2679421
LGN,2026-02-02,46.45,49.43,46.0,47.58,905500
LGN,2026-02-03,47.66,49.98,47.6,49.66,1054239
LGN,2026-02-04,49.59,50.06,44.45,45.19,921024
LGN,2026-02-05,44.1,46.45,43.89,44.43,781023
LGN,2026-02-06,44.71,48.95,44.71,48.87,1053013
LGN,2026-02-09,48.83,52.63,48.29,52.01,877509
LGN,2026-02-10,52.47,54.22,51.33,53.46,915808
LGN,2026-02-11,54.07,54.57,51.56,53.62,1452600
LGN,2026-02-12,53.73,54.2,48.1,48.16,1054156
LGN,2026-02-13,48.17,50.85,46.61,47.8,884100
LGN,2026-02-17,47.4,48.28,45.82,47.6,851300
LGN,2026-02-18,47.68,49.48,46.11,46.64,1049200
LGN,2026-02-19,46.64,47.56,45.04,47.28,793289
LGN,2026-02-20,48.2,55.48,48.2,55.24,2093849
LGN,2026-02-23,54.87,55.21,51.41,52.2,933363
LGN,2026-02-24,51.8,55.0,50.0,54.86,651018
LGN,2026-02-25,55.71,56.89,54.88,55.76,707925
LGN,2026-02-26,56.26,57.96,54.3,57.32,791500
LGN,2026-02-27,55.75,58.1,55.75,58.05,1359800
LGN,2026-03-02,55.92,57.24,55.46,56.05,1271300
LGN,2026-03-03,53.83,55.47,51.27,54.16,826005
LGN,2026-03-04,54.55,57.13,54.37,55.38,826822
LGN,2026-03-05,54.14,55.48,52.01,54.07,672400
LGN,2026-03-06,52.21,54.07,50.25,50.41,807253
LGN,2026-03-09,49.0,50.46,46.96,50.44,1182200
LGN,2026-03-10,51.16,53.74,50.2,51.38,696414
LGN,2026-03-11,51.44,52.55,50.1,51.69,804612
LGN,2026-03-12,50.1,52.5,49.03,50.51,1130751
LGN,2026-03-13,50.59,52.46,50.08,50.9,738100
LGN,2026-03-16,51.92,53.56,50.74,52.06,454600
LGN,2026-03-17,52.8,52.8,51.02,52.5,582106
LGN,2026-03-18,52.19,53.41,50.65,51.53,490116
LGN,2026-03-19,50.65,52.14,49.35,51.49,816500
LGN,2026-03-20,51.17,51.17,47.8,48.83,882322
LGN,2026-03-23,49.6,52.96,49.6,52.16,605300
LGN,2026-03-24,51.71,53.75,50.81,53.2,647500
LGN,2026-03-25,54.18,55.87,53.82,55.81,1101719
LGN,2026-03-26,55.59,55.61,52.72,52.98,1580132
LGN,2026-03-27,59.01,60.5,52.14,54.75,2673000
LGN,2026-03-30,55.81,55.81,50.35,53.89,2097200
LGN,2026-03-31,54.9,59.15,54.4,56.46,2009428
LGN,2026-04-01,57.42,60.0,57.14,59.6,2156200
LGN,2026-04-02,57.23,60.5,56.5,58.68,1199098
LGN,2026-04-06,55.3,57.55,54.61,55.09,1919600
LGN,2026-04-07,54.73,56.72,53.88,54.98,1652611
LGN,2026-04-08,56.98,58.36,54.98,57.74,9421012
LGN,2026-04-09,57.56,60.6,57.4,59.75,4592900
LGN,2026-04-10,60.0,63.88,59.76,63.2,4456943
LGN,2026-04-13,62.39,65.43,62.39,65.38,1727530
LGN,2026-04-14,66.71,67.1,65.5,66.06,1516287
LGN,2026-04-15,68.58,69.66,67.06,69.54,2165307
LGN,2026-04-16,69.54,70.35,66.48,68.8,1896210
LGN,2026-04-17,70.79,74.48,70.23,73.77,4220605
LGN,2026-04-20,73.74,76.32,71.99,76.08,1557620
LGN,2026-04-21,78.04,78.29,74.92,76.59,1977100
LGN,2026-04-22,78.3,79.72,76.36,79.28,1160691
LGN,2026-04-23,79.35,81.81,78.95,81.12,1562512
LGN,2026-04-24,82.41,82.46,76.83,80.4,1589892
LGN,2026-04-27,80.91,82.54,77.66,81.43,1600529
LGN,2026-04-28,79.86,81.0,77.51,80.58,1351363
LGN,2026-04-29,80.71,82.74,79.31,80.74,1349858
LGN,2026-04-30,82.32,87.33,82.28,86.96,1026273
LGN,2026-05-01,87.83,90.37,86.22,90.1,1279041
LGN,2026-05-04,90.49,92.04,89.7,91.41,1351840
LGN,2026-05-05,93.78,100.4,93.19,99.38,2003126
LGN,2026-05-06,101.52,102.29,95.37,102.27,1953018
LGN,2026-05-07,102.27,102.64,95.88,97.44,1893300
LGN,2026-05-08,99.16,99.99,97.76,99.89,1510437
